id,countries,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
1,China,1350.175,1462.099,1485.165,1606.502,1645.346,2518.077,2910.378,3338.666,4124.02,3967.393,4326.826,4472.957814,5668.26,7915.645,9245.098,10665.717,12385.667,15815.633,21298.67263,26520.36736,31605.89014,44799.05963,52597.07085,71485.71636,80623.01946,79164.34138,99985.83544,85070.36007,87830.0733,110029.9458,123603.5088,153515.2855,167625.455
2,Japan,12133.279,13672.807,14617.324,16599.46,17284.284,18157.398,19059.231,19706.973,20497.036,19284.617,21444.431,20307.42481,22206.161,26806.946,25882.379,24777.675,22829.337,28090.063,34162.1446,35439.59138,37434.71525,55149.35919,39009.46999,48950.42016,53183.34539,48540.45947,50972.11924,46443.6897,37974.17131,44455.81339,51256.45539,61675.49188,56161.03845
3,Republic of Korea,1877.4,2313.136,2829.305,3412.017,3594.093,4328.702,5242.378,6084.613,7591.634,8232.904,7181.081,6890.124652,8298.135,10225.977,10925.203,10242.913,9733.517,11096.348,13381.72223,15156.64021,16366.56471,21408.06649,18681.59633,24583.22727,24061.3265,21091.57327,22667.69217,20613.3945,19970.71823,22870.59425,23713.1844,27838.57754,27647.13009
4,United States,6081.367,6128.277,7081.439,7782.911,7097.017,7067.138,7471.259,7045.994,7662.293,8823.244,11933.223,12379.03258,13965.395,17337.048,16547.538,15157.27,13967.19,13946.405,14965.05106,15797.3206,16492.58025,17867.37472,15020.9723,14765.82122,15577.30687,15054.67683,17228.08635,20528.4135,21896.23918,20694.83201,21354.73044,24768.59842,27403.93459
5,United Kingdom,2987.145,3020.324,3305.382,3494.435,3801.413,4167.042,4732.689,4197.26,4560.681,4265.361,5106.115,6783.782129,7687.538,8699.315,9407.051,11628.63,9909.163,9817.546,12976.69524,11835.37634,13202.27004,16530.60675,11582.33148,11099.92775,12422.8098,10161.41093,8392.474061,9095.184962,12641.40766,12753.82049,11758.70499,13450.23836,20950.50024
6,India,0,0,0,0,0,0,0,0,0,0,0,2157.531197,2034.408,2628.495,3068.634,3106.294,5585.159,7097.27,8728.73469,11848.94953,11975.99088,19028.73903,19926.29503,19077.24346,15660.28957,13517.34362,10616.3638,12939.37886,13338.05921,19270.18586,21127.62841,22858.43701,18617.50799
7,Singapore,1472.861,1754.157,2368.546,3242.737,3753.451,4525.261,4061.571,4920.413,4777.708,4740.528,5080.128,4915.470604,6695.98,8375.964,7493.755,7090.343,5420.017,5956.141,7162.390356,7808.176438,9440.610425,9120.984782,8064.748863,8598.255131,10001.60846,10127.03436,11167.3825,12383.19245,10070.88177,11348.90577,13129.19995,15333.34712,17026.36921
8,New Zealand,3326.289,3483.119,3814.254,3810.095,3969.466,4514.486,5184.93,6045.16,7138.536,7953.713,7575.447,7771.299558,8946.613,9873.362,10329.658,11116.821,11210.14,12606.185,12414.09035,13216.73461,13441.91479,12450.38749,11420.71072,11336.69658,11423.85595,11057.27355,11792.81483,12718.40416,13161.30168,13664.92838,14316.01657,15979.40546,15681.77197
9,Taiwan,1447.482,1698.593,1987.171,2146.381,2778.865,3123.375,3315.769,3781.096,3945.088,4106.274,4687.697,4688.461776,5200.984,6335.793,5253.936,4726.878,4209.567,5336.034,6391.030926,6720.224411,6979.074045,8728.060763,7428.394798,9683.985859,9379.294991,8354.551785,8298.644824,7906.738536,7669.592969,9988.096378,10966.65367,13900.8589,12988.75567
10,Malaysia,990.832,1090.169,1290.221,1400.99,1585.942,1781.826,2385.745,2717.199,3022.656,3126.608,2985.944,2673.76207,2987.681,3469.531,3524.251,3250.281,3468.955,3868.626,3808.613605,4441.681054,5043.575154,5557.231205,4891.813725,5910.700321,6905.034944,7056.529682,7836.745372,8496.126785,7650.73335,8438.239598,8926.491087,11550.24354,10484.05826
11,Hong Kong (SAR of China),2267.35,2216.472,1783.688,2079.805,2700.729,3328.084,3665.044,3495.372,3914.795,4025.505,5099.478,4099.751801,4354.421,5246.653,5619.511,4843.053,4343.209,4267.836,4486.210019,4716.867566,4559.421459,4983.806831,4420.551281,5087.394389,7449.574843,10519.52412,12989.75731,11500.77975,11561.33083,15860.93619,14458.41528,10943.72058,9725.026843
12,Vietnam,0,0,0,0,0,0,0,0,0,0,0,501.7775742,550.458,687.069,709.361,694.877,724.485,930.19,1188.865431,1956.270831,2288.876511,1995.207096,2380.754758,2829.362442,3061.288424,2859.862346,3980.185762,4657.306025,5018.297283,5747.665247,6126.412311,7614.456472,8028.402543
13,Indonesia,791.18,998.292,1318.784,1844.287,1991.697,2210.328,2535.713,2953.002,3720.595,4442.266,3789.785,3262.530572,3440.435,4210.877,4291.701,3942.687,3981.908,4294.25,4810.677516,5109.359317,4948.600924,5419.140234,5570.888938,6032.031771,6566.611299,6186.495784,7098.31932,7052.959971,7028.610296,8396.455769,8401.414086,8374.638366,7903.362481
14,Thailand,442.02,603.677,750.134,863.479,1043.431,1482.366,1661.629,2063.155,2280.7,2213.032,1795.137,1737.75131,2185.312,2792.209,2900.746,3165.996,3112.765,4558.247,4924.02014,5027.946612,5600.862358,6022.700795,5797.619232,7963.206504,6640.338575,5849.083063,5729.33739,6138.278933,4708.97574,5155.348365,6601.54792,7382.07992,5265.420987
15,Germany,1349.694,1484.22,1602.494,1458.632,1545.201,1490.662,1608.945,1673.842,1803.129,1775.168,2035.077,2207.303308,2039.361,2357.194,2282.988,2558.479,2296.031,2371.536,2400.505557,2661.918124,2696.101202,3516.333771,2900.329395,3341.073939,3325.857844,3201.33872,3082.38352,2962.169452,3748.986549,4339.960304,4195.912709,4575.125384,5043.410176
16,Netherlands,737.783,832.387,1185.253,1166.684,1017.547,1054.829,864.995,898.599,906.733,840.312,1152.071,1196.844159,1702.374,2159.68,1860.182,1722.288,1820.707,2351.48,3108.173855,3482.988404,3358.608076,3683.160571,2562.276187,3462.08583,3921.905048,2959.818562,2682.926508,2825.159559,2659.371892,3673.10899,3860.290152,4410.809218,3800.525921
17,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,1355.319,1436.165,1514.752,1657.994,1767.418,2193.214443,2816.505091,3694.876426,4211.211481,2578.459314,2732.264961,2696.315639,2835.170123,3343.47959,3977.339927,3775.388305,3846.65602,4356.289251,4840.574765,3774.703161
18,Philippines,336.228,502.068,557.105,563.904,627.125,708.611,850.516,1000.287,1237.403,1413.825,1373.17,1402.538786,1498.81,1670.003,1405.552,1229.161,1063.557,1021.599,1065.648065,1276.150244,1575.114927,1780.166316,1509.294338,1923.785094,2022.25445,2220.772518,2209.119743,2392.350556,2484.36644,3217.779379,2861.220937,3885.678549,3376.901885
19,Canada,888.719,925.758,949.162,1073.111,1095.084,1382.44,1442.261,1390.072,1611.957,1515.744,1690.286,1673.977887,1561.34,2349.218,2464.891,2337.774,2384.315,2532.714,2429.815616,2651.985044,2528.498306,2504.424162,2171.925135,2257.896361,2543.328385,2416.732724,2172.597272,2418.901662,2698.842808,2789.527115,2758.789671,3458.215451,3087.995268
20,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.035247,301.985939,592.149364,714.685468,662.505978,598.698181,534.019811,605.217633,791.617359,895.02017,1150.796547,1753.642262,2752.779946,3085.971076
