id,countries,ISO_A3,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
1,China,CHN ,834.271,996.65,1355.004,1456.04991,1864.59983,2549.46954,3225.457082,3745.017037,4320.471645,4577.992162,5277.335309,6443.545589,7216.06552,9805.206049,11067.90219,13805.20115,15194.0291,19159.37745,22837.52799,26795.80506,30427.56578,36886.58779,37343.94268,40923.57616,43919.33875,46442.35528,49570.57342,54460.00207,64377.15146,62323.16915,67448.49916,78303.08758,82841.71216
2,United States,USA ,10820.323,12121.967,15206.514,15983.1798,15816.68618,16390.62211,17301.42617,19018.72746,21252.19038,22938.16581,23762.42983,27457.78142,27410.79101,30261.35755,27747.07186,29487.75597,26922.80964,26949.60087,28181.76152,32145.92602,33278.38469,37910.55885,35325.88444,36378.27321,40711.59793,43310.11822,41003.49267,43391.76404,49372.25903,44953.5604,47331.93812,50864.93788,55532.51401
3,Japan,JPN ,8605.886,9601.499,11768.902,10641.23295,10018.17242,11377.08787,13263.95301,13649.56967,13585.79101,11696.98305,12807.19327,14821.94199,15593.43213,17034.49653,17150.61436,17240.12088,17810.40105,18405.64163,18917.19233,19112.27154,19828.66346,22491.02146,18777.87452,20573.47864,20078.83661,21420.45276,21608.57835,20095.80704,23027.15126,22823.68513,24812.99296,26987.55465,26357.17838
4,Germany,DEU,3130.72,3215.265,3739.115,3828.421334,3584.85705,3706.086275,4042.043774,4540.279529,5676.358316,5228.30408,5330.317925,6663.598364,6710.601302,6889.034411,7859.738694,8487.867482,9050.065813,9399.665103,9902.032452,10221.96691,11674.71699,13561.99052,12519.82685,12640.02702,12677.91634,13402.83038,14132.66079,14742.82575,15569.77274,16471.82198,16991.89263,18771.63892,18183.63119
5,Thailand,THA,509.124,596.471,822.311,852.803585,887.411213,1054.844332,1133.793313,1240.56255,1424.437723,1453.518297,1710.946715,2150.888417,2690.264611,3496.477231,3505.774653,3945.675701,4292.913252,4700.106689,5825.726433,7692.468738,9807.356619,12441.15947,14159.17932,13265.71634,11065.9842,13084.97606,14287.43509,13266.02842,15804.57262,16878.39767,17213.32728,17913.66704,17385.42425
6,United Kingdom,GBR,5091.309,5684.175,6419.159,6377.939091,5871.530141,6340.200229,6774.422731,7477.928245,8376.361168,9030.069371,8892.589901,9333.228374,8843.940168,11408.90853,10336.21336,10135.00355,9883.456387,10526.57985,11134.54723,10861.9264,13425.41344,15973.17325,12160.82798,12160.16848,13186.17113,13162.21992,13229.63347,13491.49123,15221.70327,14868.64476,15486.16535,16518.4149,17246.24534
7,Singapore,SGP,1335.48,1642.15,2069.223,1959.903549,2144.407353,2195.154306,2515.857932,3116.11992,3724.458088,3917.301574,3576.117876,4114.645063,6045.710866,5764.532636,6174.653735,6723.314107,6667.412573,8800.147431,11634.61597,14851.59923,14903.01753,21139.66107,14723.40305,14106.60814,17893.3901,18712.42854,17902.79208,17583.73022,14740.85175,12364.53817,13375.9018,17257.64512,16294.41007
8,New Zealand,NZL,2246.191,2605.651,2953.162,3020.396971,3093.319113,3427.896227,3896.932775,4280.207221,4618.473719,4770.908798,4903.085665,5317.461103,5622.574147,6135.449691,6568.070869,6721.490205,7058.161253,7350.003575,7607.784061,8001.21074,9117.695112,10745.43974,9944.483508,10315.6076,10970.50873,10576.31298,11107.59198,11906.58126,12012.66678,12378.16631,13570.62364,14289.00656,14541.92995
9,Republic of Korea,KOR,1069.689,1180.952,1437.671,1288.167527,1362.37359,1656.085122,2047.687663,1996.294841,2540.655369,2612.72984,3241.231538,4477.264515,4111.474082,5077.688109,4987.649002,5087.877341,5177.929081,5265.926554,5520.359516,7332.174495,6356.84797,6885.939063,7009.092851,7633.907903,7600.143991,10517.7828,11414.6662,13265.98874,16168.88279,11869.98362,31746.6413,14455.04683,13096.19844
10,Malaysia,MYS,648.926,828.676,1004.662,925.902652,1040.52106,1264.431271,1419.527571,1669.765028,2072.069563,2244.177222,2754.961457,3451.691453,3984.817451,5115.356388,4687.305859,4597.828138,4938.204823,6361.237699,6966.588508,7670.993618,8450.299138,10101.52995,8617.073729,10328.12089,9978.971648,11007.84501,11069.2532,12755.5771,11256.95933,10276.25955,12175.72449,13971.42134,12252.95485
11,Italy (d),ITA,1534.915,1605.127,1943.338,1861.195463,1620.774549,1685.727466,1785.85215,2193.385951,2579.31711,2767.788061,2885.090035,3350.205831,3329.845163,3620.189078,3958.339152,4359.149817,4708.764368,5135.537463,5094.748402,5453.713381,5908.852898,6524.435658,5935.228618,6193.185359,6523.166123,6711.956232,7420.93817,7729.161786,7626.507326,7795.881497,8412.105861,9576.292285,9809.682069
12,Indonesia,IDN,669.233,572.169,712.319,749.794206,1161.476093,1535.051649,1580.865857,1474.016721,1860.543893,2511.804893,3245.308571,4565.074259,3578.777924,3601.626475,4926.400779,5141.614206,4760.552678,4760.560336,4658.978145,5176.528577,5767.94218,6604.300522,6358.750279,7569.599501,8651.346982,9098.64078,8886.232566,9345.097243,8834.253443,8598.646297,7780.338271,9056.691258,9654.351892
